City,Latitude,Longitude,Temperature,Humidity,Windspeed,Cloudiness
paka,4.636872,103.435976,76.96,94,0.0,40
bonthe,7.527274,-12.501955,78.3,84,3.6,98
puerto ayora,-0.7471674,-90.3134198,68.2,85,4.0,86
jinji,32.5604241,119.0688907,65.1,60,8.61,8
clyde river,46.2239354,-63.2576799,49.06,61,14.97,75
comodoro rivadavia,-45.8632024,-67.4752615,72.05,35,2.3,40
lewistown,47.0639275,-109.428213,12.6,84,11.5,100
illoqqortoormiut,70.4850588,-21.9641992,16.25,66,4.97,100
cururupu,-1.824255,-44.872996,75.78,91,3.6,79
chimbote,-9.0744966,-78.593609,63.28,85,8.16,10
kefalovrison,39.8911466,22.0726041,47.75,82,1.95,0
bengkulu,-3.7922858,102.2623797,76.24,87,2.77,100
margate,51.3878174,1.3819699,57.49,81,11.01,99
cidreira,-30.1657063,-50.218331,61.27,83,11.14,16
kandrian,-6.2074238,149.5476443,86.43,67,7.27,95
waingapu,-9.652179,120.2636908,87.06,63,6.6,83
lebu,-37.6099644,-73.6559477,53.56,86,10.51,100
baruun-urt,46.68094,113.28347783638328,34.68,33,15.14,56
torbay,47.6576953,-52.726986,58.68,97,26.46,100
san juan de los morros,9.9152306,-67.3569141,71.26,94,1.45,86
cabo san lucas,22.8938884,-109.9200604,73.92,68,11.5,20
port alfred,-33.5981844,26.8914772,64.06,88,5.01,100
deputatskiy,54.8408485,61.1269918,23.49,91,5.75,100
souillac,44.8980172,1.46943,53.44,81,7.67,31
broken hill,-31.965,141.4511111,77.86,32,8.12,100
north branch,45.5113515,-92.9802176,34.38,77,7.05,99
masyaf,35.0620038,36.3437605,54.66,91,3.06,100
qaanaaq,77.4686357,-69.2222746,-0.76,97,3.83,100
nizhneyansk,71.440445,136.130646,4.15,94,18.41,100
ola,35.0323119,-93.2232345,65.73,75,5.73,100
grand island,40.924271,-98.338685,45.54,32,16.11,0
bluff,-46.59882,168.3433685,65.93,71,9.91,77
nacogdoches,31.6035129,-94.6554874,73.53,89,4.61,0
kashan,33.9876533,51.4428856,49.62,49,0.0,0
rincon,32.2960289,-81.2353905,70.59,64,5.75,75
faya,17.9209323,19.0953202,72.77,18,19.55,0
port elizabeth,-33.9617051,25.6207519,60.91,88,16.11,0
san ignacio,17.1527588,-89.0761718,75.18,88,0.0,0
storforshei,66.4044787,14.5277523,24.57,86,2.3,4
anloga,5.7936484,0.8984702,81.05,79,6.13,18
malwan,24.2274552,73.35321000182395,72.41,41,4.54,78
fortuna,40.597407,-124.156034,43.93,94,6.91,75
provideniya,64.4237364,-173.2273726,30.99,74,21.99,100
attawapiskat,52.9244075,-82.4270112,30.2,86,18.41,100
manggar,-2.8672641,108.2759285,79.65,80,2.3,100
amderma,69.7522076,61.662267280204404,24.44,93,4.56,100
aykhal,65.9516363,111.4917562,-4.68,100,2.53,97
la ronge,55.1005283,-105.2900485,12.38,79,8.05,100
novobirilyussy,56.95171,90.685806,21.79,98,3.85,78
sao filipe,14.8952963,-24.4969361,77.74,66,5.84,100
karakol,42.4916808,78.3901729,37.26,64,6.62,100
hithadhoo,1.7959425,73.38755195657038,81.36,77,13.29,32
agadez,16.972556,7.990739,71.4,21,10.13,4
tecoanapa,16.9875,-99.258889,73.89,98,0.13,76
tura,47.3900474,0.6889268,52.5,83,12.66,0
hennebont,47.8058026,-3.2751174,55.22,90,17.27,75
saint-augustin,48.7858921,3.0292059,49.53,96,13.06,100
east london,-33.0191604,27.8998573,67.66,86,13.31,100
norman wells,65.282401,-126.832725,1.44,85,6.91,20
gorom-gorom,14.4445805,-0.2345411,77.31,12,9.06,100
tateyama,34.9965304,139.8699838,64.99,53,13.71,0
avera,43.3896226,-0.1768284,53.89,74,4.61,0
bilma,18.69293,12.91872,69.31,24,9.66,0
poum,-20.2316547,164.029894,77.88,80,14.43,100
komsomolskiy,43.98266,46.6950001,50.5,60,18.03,99
sistranda,63.7301981,8.8297021,40.89,70,8.25,100
kuche,41.7116961,82.9583247,45.68,37,1.7,46
upernavik,72.7847392,-56.1469625,6.55,88,6.33,92
necochea,-38.5545494,-58.7392624,62.04,47,17.67,0
coruripe,-10.1249963,-36.1760623,74.25,93,7.65,49
narsaq,60.9127453,-46.0452698,30.45,76,6.51,100
kiri buru,22.0833732,85.3499937,69.48,70,1.54,2
bandarbeyla,9.4952646,50.8127815,77.13,78,3.13,3
la rioja,-29.4127411,-66.8558795,76.41,33,8.08,79
lavrentiya,65.5837793,-171.0058116,28.54,97,23.64,100
vanimo,-2.6847646,141.3009131,83.16,81,2.55,100
palabuhanratu,-6.9882409,106.5503728,81.12,77,0.4,100
lasa,50.4291723,2.8319805,52.93,78,16.69,100
pingzhuang,27.242778,119.705278,72.19,61,1.39,5
tasiilaq,65.6152573,-37.6378149,30.16,97,4.47,100
ilulissat,69.2197127,-51.0986385,-7.87,88,6.51,16
phan rang,11.5769829,108.9865391,80.91,68,5.44,100
muros,40.678061,8.617315,54.05,89,4.72,14
winder,33.9919085,-83.7184368,69.03,88,0.0,40
port moresby,-9.4743301,147.1599504,88.75,62,13.8,40
ibatiba,-20.2342792,-41.5082981,61.88,96,3.22,89
ponta delgada,37.7394344,-25.6683618,59.72,82,6.91,20
rawannawi,2.0520799,173.2627529,80.2,69,6.04,33
pisco,-13.7099813,-76.2029793,62.49,82,10.36,0
aguas formosas,-17.083056,-40.935555,64.18,88,1.86,100
arawa,-6.2262566,155.5651139,84.79,78,6.82,66
fjerritslev,57.088801,9.2731047,51.62,94,13.94,98
venice,45.4371908,12.3345898,44.1,87,3.44,0
bambous virieux,-20.347199500000002,57.76474767388835,73.96,83,6.91,40
pevek,69.7028171,170.2746851,1.65,96,2.06,16
ahipara,-35.1664105,173.1562074,61.84,88,14.61,93
peniche,39.3566221,-9.3812853,63.36,94,14.0,100
sitka,57.0524973,-135.337612,35.42,25,0.0,0
linxia,35.4787351,103.038525,48.33,58,1.74,7
coralville,41.6759977,-91.580705,41.23,59,1.99,89
salvador,-12.9822499,-38.4812772,78.53,73,13.8,40
vaitupu,-7.4769458,178.6807836433052,82.85,72,9.89,26
aklavik,68.2182579,-135.013585,0.14,86,10.18,100
riyadh,24.638916,46.7160104,66.58,58,4.09,0
grand-santi,4.2734484,-54.3810948,72.39,100,2.35,100
montes altos,-5.8316731,-47.0658003,76.42,84,3.24,100
demerval lobao,-5.3640643,-42.673993,78.21,82,0.96,100
tabuk,28.4012536,36.567049,60.85,39,4.61,0
keshan,48.3018103,125.381993,36.21,48,8.25,6
wulanhaote,46.070838,122.0698453,43.65,27,7.63,65
haines junction,60.7527212,-137.5100384,-5.85,77,1.14,95
le port,42.8662832,1.3740316,51.39,48,8.37,99
arkhangelsk,64.543022,40.537121,39.11,100,2.24,75
kahului,20.8894101,-156.4727118,84.58,62,21.85,40
potsdam,52.4009309,13.0591397,50.61,93,8.63,59
hearst,39.4915482,-123.2147312,40.37,94,4.29,100
talnakh,69.4939889,88.3907607,-8.43,100,5.21,89
diveyevo,55.041687,43.245518,32.72,98,7.43,100
jardim,-21.479941,-56.148902,66.52,55,5.01,97
katsuura,35.1521846,140.3207449,64.09,66,10.33,0
oksfjord,70.2394948,22.3505275,35.62,87,3.69,94
pundaguitan,6.375915,126.1643773,82.85,74,2.37,68
coihaique,-45.5711804,-72.0684863,53.85,87,5.75,0
castro,45.802987,10.06706,50.86,44,1.99,67
makubetsu,42.9084894,143.3561446,42.48,58,0.56,70
baykit,61.6808261,96.3830221,9.34,99,3.15,91
guerrero negro,27.9709506,-114.036389,65.82,74,12.48,54
chokurdakh,70.6193824,147.902397,-11.33,96,11.16,56
ambilobe,-13.194439,49.049956,70.61,77,5.03,100
aksu,54.846351,50.8055345,29.75,97,6.93,78
severo-kurilsk,50.6683048,156.1154399,39.56,75,17.83,83
salalah,17.0174945,54.1010923,74.1,72,2.24,0
stettler,52.3228746,-112.71302,4.75,100,9.22,100
bilibino,68.0550305,166.4448515,-2.94,95,3.96,59
raciborz,50.090525150000005,18.21514950291531,45.52,92,9.08,97
rawlins,41.7907878,-107.239176,49.89,43,9.22,0
half moon bay,52.3472138,-114.1766304,4.3,90,7.99,100
lakes entrance,-37.8794582,147.9943828,70.86,53,7.54,0
port-cartier,50.0187481,-66.8756913,42.58,59,18.28,14
jalu,29.0331149,21.5482209,62.08,80,9.6,0
llanes,43.4211205,-4.7530835,66.88,71,8.03,100
zhezkazgan,47.7964459,67.70618078166055,24.84,80,13.42,40
karaul,58.2762328,48.306824,30.78,95,8.39,100
rio grande,-53.7856766,-67.7016369,51.84,76,13.8,40
onalaska,30.805746,-95.1163261,76.37,83,5.44,81
muisne,0.6104236,-80.0185958,74.21,76,5.57,80
asilah,35.461928,-6.036545,64.29,87,7.9,33
carnarvon,-24.8826131,113.6576486,70.66,56,14.27,5
kalamata,37.0377582,22.1109392,61.11,70,3.44,0
berdigestyakh,62.098289,126.699837,-11.25,95,1.99,35
jabiru,-12.6738286,132.8365938,99.99,35,2.91,100
nazarovo,56.011593,90.418503,22.84,97,3.51,85
coahuayana,18.6220145,-100.3484789,69.76,87,3.87,0
koslan,63.456226,48.894211,33.82,98,8.05,100
umzimvubu,-30.82491,28.92177617804983,58.06,94,2.04,100
thompson,55.743347,-97.863464,-7.42,84,0.0,0
okhotsk,59.3643921,143.2410816,8.42,64,21.5,4
ewa beach,21.315603,-158.008804,82.29,62,14.97,51
baisha,19.2262487,109.4475116,71.2,93,3.09,100
tirumullaivasal,11.2417391,79.8428846,76.82,89,10.74,100
porbandar,21.6409,69.611,76.19,63,8.12,3
cap malheureux,-19.9859951,57.619612,70.45,77,3.0,40
tautira,-27.145219,-109.430579,70.56,73,10.36,20
thanh hoa,19.811719,105.7745698,76.12,68,4.03,5
belmonte,39.5592831,-2.7038117,50.45,44,6.89,92
hasilpur,29.6889811,72.5525446,65.32,62,7.14,0
thap than,15.4607614,99.8906508,77.92,79,5.59,14
daru,-9.069901,143.210029,79.18,87,3.31,100
port hardy,50.7244402,-127.4976081,35.58,51,23.02,20
la plata,-34.9206797,-57.9537638,66.56,68,13.24,0
santa maria del oro,25.9540852,-105.3669215,63.72,27,4.85,14
clarence town,23.0917159,-74.960639,81.46,69,15.01,1
san policarpo,12.1805518,125.5074292,83.84,78,6.15,100
berlevag,70.79904505,29.150528646532546,26.01,86,6.91,29
esperance,-33.858228,121.8931606,60.51,72,16.13,100
